track_id,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,emotion
1jzDzZWeSDBg5fhNc3tczV,7.85e-05,0.429,0.631,0.00411,0.175,-11.514,0.0769,162.734,0.376,0
4KfSdst7rW39C0sfhArdrz,0.015,0.548,0.691,0.106,0.144,-13.553,0.0369,137.145,0.667,0
6oMQiqmcVGYm0OfMwNh7rI,0.00227,0.334,0.901,0.0192,0.145,-4.21,0.0899,148.801,0.694,0
3m6KkYKdnbffMpGd9Pm9FP,0.00666,0.745,0.466,0.35,0.272,-7.62,0.0864,123.889,0.303,0
5MMnwYs0hIxkENRsbkWJ2G,0.13,0.598,0.676,0.225,0.112,-9.211,0.0279,114.169,0.805,0
2nVHqZbOGkKWzlcy1aMbE7,0.488,0.48,0.536,4.22e-05,0.155,-11.166,0.0427,80.617,0.581,0
0TI8TP4FitVPoEHPTySx48,0.00367,0.332,0.769,0.00413,0.0372,-11.503,0.0765,157.378,0.525,0
33c2SurTuBpaWAW9YKlvqC,0.00161,0.541,0.738,0.194,0.0983,-12.645,0.0346,105.314,0.588,0
575JT8zeoX23vlgvcUU8pB,0.000254,0.407,0.876,0.00265,0.215,-4.145,0.0529,116.335,0.521,0
2OabutYqS7EZwJwAaRM6PF,0.00208,0.382,0.996,0.0,0.417,-4.119,0.104,93.345,0.327,0
1ENLIbxO4Uma773neTHxbp,0.00502,0.39,0.642,0.565,0.296,-5.266,0.0326,92.397,0.132,0
6RbC38oDCIXD8V2AOU1Tjr,0.000303,0.435,0.901,0.0072,0.185,-3.694,0.0429,143.646,0.547,0
3jJZVeExYzVYiV6Y9Fl3DX,0.0021,0.423,0.954,0.0,0.177,-3.157,0.047,144.553,0.5,0
69QHm3pustz01CJRwdo20z,0.00532,0.389,0.873,0.0055,0.273,-4.768,0.0475,106.767,0.303,0
0gUiRGVtNJXSf3zlTmDOjv,0.0353,0.322,0.626,2.63e-06,0.106,-6.664,0.0304,156.041,0.256,0
3YuaBvuZqcwN3CEAyyoaei,0.00797,0.614,0.568,0.0,0.0997,-5.477,0.0276,107.849,0.516,0
4OaV9UYQ3EfrBRPjoO6u7c,0.188,0.493,0.66,0.0298,0.094,-10.198,0.0457,100.977,0.307,0
2SiXAy7TuUkycRVbbWDEpo,0.00287,0.532,0.767,0.000513,0.39,-5.509,0.0574,127.361,0.755,0
5V3mdRI2yQxbSsJGDPc5lD,0.000353,0.42,0.929,0.000747,0.122,-3.899,0.121,127.204,0.3,0
1twBt7aZiy7HWPG025QGuP,0.00107,0.404,0.923,0.0163,0.0637,-4.235,0.0547,81.058,0.248,0
3Q8zopc4ABXhysDb1sgLVW,0.0139,0.477,0.917,0.0,0.0756,-3.399,0.0814,160.021,0.267,0
0UHxkkgI5GfV0XBRA1rqfe,0.00588,0.555,0.938,0.000162,0.15,-3.854,0.0421,86.986,0.391,0
32V8SrHZnYzZu7V47L2jgK,0.0204,0.486,0.744,0.00298,0.112,-7.176,0.0404,132.446,0.362,0
7CpbhqKUedOIrcvc94p60Y,0.00347,0.656,0.932,0.00147,0.144,-3.405,0.0708,130.936,0.544,0
2qJkesdHu9sMMVFgkRkqhQ,0.00251,0.443,0.844,0.0,0.085,-5.414,0.0425,76.001,0.452,0
3kb72STxc2959ZqsTwu52i,0.0438,0.634,0.849,0.0,0.363,-7.075,0.105,156.004,0.919,0
0snQkGI5qnAmohLE7jTsTn,0.000264,0.413,0.873,0.00249,0.204,-4.151,0.0536,116.68,0.48,0
6VzV6RI7641o57TuqfGRpj,0.00162,0.467,0.67,0.0001,0.195,-4.063,0.0663,146.223,0.457,0
7x8dCjCr0x6x2lXKujYD34,0.000917,0.433,0.959,0.0,0.028,-4.04,0.0431,172.984,0.365,0
0jqblvsI9LBY4irmLVqqEO,0.00267,0.567,0.946,0.0,0.0567,-3.973,0.0935,94.985,0.699,0
3sHH7lklbfpcraDDvYnjo7,0.000248,0.541,0.968,8.28e-06,0.423,-4.129,0.0396,125.04,0.505,0
6xgO2ICtpT8jDcYvVsCKIB,0.00662,0.482,0.927,0.0,0.282,-5.122,0.0665,150.015,0.529,0
7qjbpdk0IYijcSuSYWlXO6,0.000613,0.543,0.965,9.97e-06,0.0883,-4.038,0.0963,155.019,0.715,0
70YvYr2hGlS01bKRIho1HM,0.00249,0.545,0.64,0.0304,0.196,-9.937,0.224,80.544,0.606,0
1UBQ5GK8JaQjm5VbkBZY66,0.000359,0.601,0.859,0.00124,0.0871,-5.263,0.0276,125.145,0.446,0
3vV2FjnoE7VueHi63h75J2,0.00982,0.488,0.957,8.23e-05,0.551,-3.814,0.0895,96.813,0.252,0
0eEJrthp6PcMd33xs2NLrc,1.35e-05,0.586,0.889,0.607,0.0715,-4.331,0.0488,140.535,0.837,0
7zAt4tdL44D3VuzsvM0N8n,0.000429,0.487,0.949,2.91e-05,0.231,-4.217,0.0798,110.02,0.406,0
3eRhs1VE0slbJHySh8hFyV,0.000668,0.497,0.927,0.00381,0.107,-3.93,0.0348,91.805,0.468,0
5ynxx6zC4dgzsMHLYQ04Dc,0.000193,0.55,0.952,0.000666,0.0614,-4.664,0.0924,127.804,0.391,0
2abHKI9Oox4NBEhOh3HMbq,0.00115,0.63,0.86,1.19e-06,0.231,-6.117,0.0327,95.978,0.911,0
6FOpPA0a80RuBqqgDozvja,0.012,0.407,0.896,0.0,0.196,-2.935,0.063,138.697,0.156,0
2CIsr5cqDJeWffps0vtNeq,0.00209,0.538,0.925,0.0,0.258,-3.178,0.0392,98.016,0.443,0
6RJdYpFQwLyNfDc5FbjkgV,9.14e-05,0.402,0.969,0.0325,0.225,-2.825,0.181,173.847,0.262,0
46fyLy4W9HhAkcb67kLaAV,0.00505,0.204,0.898,0.0107,0.31,-5.859,0.0938,98.943,0.14,0
3uyL7AEiz5Z4de6yxl576g,0.00131,0.44,0.818,5.14e-05,0.273,-5.077,0.0388,95.093,0.32,0
44NRdYQw7P0GWuiunRv3hr,2.81e-05,0.219,0.92,0.0,0.102,-4.479,0.0623,166.188,0.376,0
2oDqmfa2g8W893LlwJG1qu,0.000242,0.547,0.714,0.636,0.122,-8.628,0.044,89.996,0.541,0
1XFjh9dU020bEzMCWEhor2,0.000194,0.686,0.607,0.0,0.0621,-8.964,0.0368,123.258,0.436,0
4T3XJJXUnum0t4tJKsEoaG,0.00112,0.276,0.546,4.25e-05,0.283,-9.095,0.0348,179.651,0.124,0
5u6fnmRO5V0PTl5M2Eekeu,0.000251,0.471,0.887,0.000328,0.0975,-3.949,0.0622,130.225,0.345,0
13ZS2V2RsGWguOYYvIqDN5,2.94e-05,0.572,0.859,0.253,0.201,-6.785,0.0352,110.034,0.106,0
4JaJuGSfhcA7kavdgS3yn6,5.12e-05,0.568,0.95,5.92e-06,0.0754,-6.187,0.0639,125.046,0.572,0
7DMb9rGl15ezFOVvFDBZs2,0.000138,0.443,0.891,8.83e-06,0.353,-5.553,0.063,148.5,0.221,0
6W21LNLz9Sw7sUSNWMSHRu,2.23e-05,0.353,0.898,0.105,0.39,-5.877,0.052,103.299,0.525,0
5cZqsjVs6MevCnAkasbEOX,0.0128,0.432,0.884,0.000457,0.166,-6.657,0.128,108.835,0.619,0
3K4HG9evC7dg3N0R9cYqk4,0.0014,0.492,0.969,1.32e-06,0.0787,-4.419,0.0491,95.136,0.538,0
7fcfNW0XxTWlwVlftzfDOR,0.000155,0.43,0.704,0.00221,0.0933,-8.008,0.0804,118.242,0.703,0
6p2liQLGoDaLXgND68bfVt,0.000658,0.687,0.677,0.000146,0.0564,-4.172,0.0508,75.052,0.546,0
48ncRBVLgiu8MY7O70VVw5,0.000101,0.459,0.908,0.202,0.145,-4.937,0.046,80.093,0.495,0
0tZ3mElWcr74OOhKEiNz1x,0.0124,0.412,0.919,0.0601,0.424,-7.291,0.184,166.367,0.572,0
3rjM7GhxdVq1YySsHBs21i,0.000734,0.572,0.961,0.021,0.207,-3.089,0.0625,76.998,0.818,0
77VW8u6inET54YAKN1RSnd,0.00043,0.58,0.983,0.00694,0.0801,-3.291,0.0636,110.053,0.416,0
6xXlurslWqFuyqTCBlErzX,1.74e-05,0.395,0.756,0.00665,0.319,-4.12,0.0544,112.092,0.475,0
5cxp9kjCFyJwzv3lzeX7ku,0.000233,0.463,0.962,0.109,0.0906,-6.43,0.0704,94.003,0.66,0
7MffyPzHHH1YUoUwBzV3W2,0.000828,0.534,0.969,0.014,0.227,-3.937,0.0703,110.958,0.366,0
4Vz9IMt12wOXjZrPoPR9aw,0.0014,0.179,0.912,0.000294,0.582,-3.881,0.0791,182.99,0.289,0
2UlFbS4EtiIj7uLeUvvOMJ,0.0115,0.462,0.791,0.0,0.311,-4.497,0.035,129.974,0.425,0
1PInWkBARsxLyouDqa2GtF,0.00272,0.235,0.86,0.0969,0.388,-2.842,0.0561,127.788,0.342,0
2suxmtefBtovCcOU3XA4L7,0.000541,0.221,0.943,0.000192,0.0469,-5.881,0.0933,66.085,0.223,0
3qzlBED0rjEl4arDNWfZEp,5.23e-05,0.454,0.817,0.000194,0.159,-6.364,0.0357,155.847,0.451,0
